id;name;description;price;discount_percent;new_price;instructions;net_quantity;net_quantity_unit;image_urls;ingredients
1;Steel;Assistant;57374;82;38757;Principal;35091;wireless Handmade;Dynamic Pound withdrawal;deposit Centers Metal
2;models partnerships Infrastructure;transmitting New Bedfordshire;60561;71;51217;intranet;16516;Australian;Business-focused;Rubber
3;aggregate Security Data;Vermont auxiliary;90726;87;55869;Implementation Awesome;52784;Prairie;invoice;Bike Shoes Center
4;tangible;Cheese Renminbi;33734;99;78011;online virtual;23086;Computer Arizona mobile;AGP lavender;navigate brand up
5;systems Gorgeous;Brand;64809;12;27583;Cambridgeshire Chair;31837;Operations Chicken;Usability multi-byte;Kids IB
6;Algeria Rustic;Taka;90493;34;80631;Practical Solutions Tuvalu;80985;multi-byte Frozen;Product;Administrator CFA
7;Colombian B2C;bypassing Gateway Virtual;94512;77;42914;Account Concrete;32973;transmit;pink Sausages;Computers Man
8;Electronics;Vista;29881;82;60454;index;61683;killer Wooden;turquoise;pixel Dollar
9;markets;adapter Keyboard Industrial;11276;51;79312;Specialist;55191;USB Future;Venezuela JBOD;mint
10;withdrawal Facilitator Nebraska;circuit Regional JBOD;24226;96;18057;payment Utah Mouse;79227;Massachusetts Programmable;Washington;multi-tasking
